"Characters","Vehicle","Tires","Glider","ID","Speed","Speed_Water","Speed_Air","Speed_Ground","Acceleration","Weight","Handling","Handling_Water","Handling_Air","Handling_Ground","Traction","Mini_Turbo"
"Light-B","Standard Kart","Group-B","Speed","Light-B-Standard Kart-Group-B-Speed",3.0,3.0,3.25,3.0,3.25,2.75,4.5,4.5,4.5,4.5,3.75,2.75
"Medium-A","Standard Kart","Group-B","Acceleration","Medium-A-Standard Kart-Group-B-Acceleration",3.5,3.5,3.5,3.5,3.25,3.0,4.0,4.0,4.25,4.0,3.5,2.75
"Medium-A","Standard Kart","Group-B","Speed","Medium-A-Standard Kart-Group-B-Speed",3.5,3.5,3.75,3.5,3.0,3.25,4.0,4.0,4.0,4.0,3.5,2.5
"Medium-B","Standard Kart","Group-B","Acceleration","Medium-B-Standard Kart-Group-B-Acceleration",4.0,4.02,4.03,4.03,3.0,3.5,3.5,3.5,3.75,3.5,3.25,2.75
"Medium-B","Standard Kart","Group-B","Speed","Medium-B-Standard Kart-Group-B-Speed",4.0,4.02,4.28,4.03,2.75,3.75,3.5,3.5,3.5,3.5,3.25,2.5
"Heavy-A","Standard Kart","Group-B","Acceleration","Heavy-A-Standard Kart-Group-B-Acceleration",4.5,4.5,4.5,4.5,2.75,4.0,4.5,3.0,3.25,3.0,3.0,2.5
"Heavy-A","Standard Kart","Group-B","Speed","Heavy-A-Standard Kart-Group-B-Speed",4.5,4.5,4.75,4.5,2.5,4.25,4.5,3.0,3.0,3.0,3.0,2.25
"Heavy-B","Standard Kart","Group-B","Acceleration","Heavy-B-Standard Kart-Group-B-Acceleration",4.5,4.5,4.5,4.5,2.5,4.5,5.0,3.0,3.25,3.0,2.75,2.0
"Heavy-B","Standard Kart","Group-B","Speed","Heavy-B-Standard Kart-Group-B-Speed",4.5,4.5,4.75,4.5,2.25,4.75,5.0,3.0,3.0,3.0,2.75,1.75
"Heavy-C","Standard Kart","Group-B","Acceleration","Heavy-C-Standard Kart-Group-B-Acceleration",5.0,5.0,5.0,5.0,2.5,4.5,5.0,2.5,2.75,2.5,2.75,2.0
"Heavy-C","Standard Kart","Group-B","Speed","Heavy-C-Standard Kart-Group-B-Speed",5.0,5.0,5.25,5.0,2.25,4.75,5.0,2.5,2.5,2.5,2.75,1.75
"Light-A","Standard Kart","Group-D","Acceleration","Light-A-Standard Kart-Group-D-Acceleration",1.75,2.75,2.75,1.75,4.5,1.5,5.0,5.0,5.25,5.0,4.25,4.75
"Light-A","Standard Kart","Group-D","Speed","Light-A-Standard Kart-Group-D-Speed",1.75,2.75,3.0,1.75,4.25,1.75,5.0,5.0,5.0,5.0,4.25,4.5
"Light-B","Standard Kart","Group-D","Acceleration","Light-B-Standard Kart-Group-D-Acceleration",2.25,3.25,3.25,2.25,4.25,2.0,4.5,4.5,4.75,4.5,4.0,4.5
"Light-B","Standard Kart","Group-D","Speed","Light-B-Standard Kart-Group-D-Speed",2.25,3.25,3.5,2.25,4.0,2.25,4.5,4.5,4.5,4.5,4.0,4.25
"Medium-A","Standard Kart","Group-D","Acceleration","Medium-A-Standard Kart-Group-D-Acceleration",2.75,3.75,3.75,2.75,4.0,2.5,4.0,4.0,4.25,4.0,3.75,4.25
"Medium-A","Standard Kart","Group-D","Speed","Medium-A-Standard Kart-Group-D-Speed",2.75,3.75,4.0,2.75,3.75,2.75,4.0,4.0,4.0,4.0,3.75,4.0
"Medium-B","Standard Kart","Group-D","Acceleration","Medium-B-Standard Kart-Group-D-Acceleration",3.25,4.27,4.28,3.28,3.75,3.0,3.5,3.5,3.75,3.5,3.5,4.25
"Medium-B","Standard Kart","Group-D","Speed","Medium-B-Standard Kart-Group-D-Speed",3.25,4.27,4.53,3.28,3.5,3.25,3.5,3.5,3.5,3.5,3.5,4.0
"Heavy-A","Standard Kart","Group-D","Acceleration","Heavy-A-Standard Kart-Group-D-Acceleration",3.75,4.75,4.75,3.75,3.5,3.5,4.5,3.0,3.25,3.0,3.25,4.0
"Heavy-A","Standard Kart","Group-D","Speed","Heavy-A-Standard Kart-Group-D-Speed",3.75,4.75,5.0,3.75,3.25,3.75,4.5,3.0,3.0,3.0,3.25,3.75
"Heavy-B","Standard Kart","Group-D","Acceleration","Heavy-B-Standard Kart-Group-D-Acceleration",3.75,4.75,4.75,3.75,3.25,4.0,5.0,3.0,3.25,3.0,3.0,3.5
"Heavy-B","Standard Kart","Group-D","Speed","Heavy-B-Standard Kart-Group-D-Speed",3.75,4.75,5.0,3.75,3.0,4.25,5.0,3.0,3.0,3.0,3.0,3.25
"Heavy-C","Standard Kart","Group-D","Acceleration","Heavy-C-Standard Kart-Group-D-Acceleration",4.25,5.25,5.25,4.25,3.25,4.0,5.0,2.5,2.75,2.5,3.0,3.5
"Heavy-C","Standard Kart","Group-D","Speed","Heavy-C-Standard Kart-Group-D-Speed",4.25,5.25,5.5,4.25,3.0,4.25,5.0,2.5,2.5,2.5,3.0,3.25
"Light-A","Standard Kart","Group-A","Acceleration","Light-A-Standard Kart-Group-A-Acceleration",2.75,1.75,2.75,2.75,3.25,2.25,4.75,4.75,5.0,4.75,3.5,3.5
"Light-A","Standard Kart","Group-A","Speed","Light-A-Standard Kart-Group-A-Speed",2.75,1.75,3.0,2.75,3.0,2.5,4.75,4.75,4.75,4.75,3.5,3.25
"Light-B","Standard Kart","Group-A","Acceleration","Light-B-Standard Kart-Group-A-Acceleration",3.25,2.25,3.25,3.25,3.0,2.75,4.25,4.25,4.5,4.25,3.25,3.25
"Light-B","Standard Kart","Group-A","Speed","Light-B-Standard Kart-Group-A-Speed",3.25,2.25,3.5,3.25,2.75,3.0,4.25,4.25,4.25,4.25,3.25,3.0
"Medium-A","Standard Kart","Group-A","Acceleration","Medium-A-Standard Kart-Group-A-Acceleration",3.75,2.75,3.75,3.75,2.75,3.25,3.75,3.75,4.0,3.75,3.0,3.0
"Medium-A","Standard Kart","Group-A","Speed","Medium-A-Standard Kart-Group-A-Speed",3.75,2.75,4.0,3.75,2.5,3.5,3.75,3.75,3.75,3.75,3.0,2.75
"Medium-B","Standard Kart","Group-A","Acceleration","Medium-B-Standard Kart-Group-A-Acceleration",4.25,3.27,4.28,4.28,2.5,3.75,3.25,3.25,3.5,3.25,2.75,3.0
"Medium-B","Standard Kart","Group-A","Speed","Medium-B-Standard Kart-Group-A-Speed",4.25,3.27,4.53,4.28,2.25,4.0,3.25,3.25,3.25,3.25,2.75,2.75
"Heavy-A","Standard Kart","Group-A","Acceleration","Heavy-A-Standard Kart-Group-A-Acceleration",4.75,3.75,4.75,4.75,2.25,4.25,4.25,2.75,3.0,2.75,2.5,2.75
"Heavy-A","Standard Kart","Group-A","Speed","Heavy-A-Standard Kart-Group-A-Speed",4.75,3.75,5.0,4.75,2.0,4.5,4.25,2.75,2.75,2.75,2.5,2.5
"Heavy-B","Standard Kart","Group-A","Acceleration","Heavy-B-Standard Kart-Group-A-Acceleration",4.75,3.75,4.75,4.75,2.0,4.75,4.75,2.75,3.0,2.75,2.25,2.25
"Heavy-B","Standard Kart","Group-A","Speed","Heavy-B-Standard Kart-Group-A-Speed",4.75,3.75,5.0,4.75,1.75,5.0,4.75,2.75,2.75,2.75,2.25,2.0
"Heavy-C","Standard Kart","Group-A","Acceleration","Heavy-C-Standard Kart-Group-A-Acceleration",5.25,4.25,5.25,5.25,2.0,4.75,4.75,2.25,2.5,2.25,2.25,2.25
"Heavy-C","Standard Kart","Group-A","Speed","Heavy-C-Standard Kart-Group-A-Speed",5.25,4.25,5.5,5.25,1.75,5.0,4.75,2.25,2.25,2.25,2.25,2.0
"Light-A","Standard Kart","Group-G","Acceleration","Light-A-Standard Kart-Group-G-Acceleration",2.25,2.25,2.25,1.75,3.5,1.5,4.0,4.0,4.25,4.0,5.25,3.25
"Light-A","Standard Kart","Group-G","Speed","Light-A-Standard Kart-Group-G-Speed",2.25,2.25,2.5,1.75,3.25,1.75,4.0,4.0,4.0,4.0,5.25,3.0
"Light-B","Standard Kart","Group-G","Acceleration","Light-B-Standard Kart-Group-G-Acceleration",2.75,2.75,2.75,2.25,3.25,2.0,3.5,3.5,3.75,3.5,5.0,3.0
"Light-B","Standard Kart","Group-G","Speed","Light-B-Standard Kart-Group-G-Speed",2.75,2.75,3.0,2.25,3.0,2.25,3.5,3.5,3.5,3.5,5.0,2.75
"Medium-A","Standard Kart","Group-G","Acceleration","Medium-A-Standard Kart-Group-G-Acceleration",3.25,3.25,3.25,2.75,3.0,2.5,3.0,3.0,3.25,3.0,4.75,2.75
"Medium-A","Standard Kart","Group-G","Speed","Medium-A-Standard Kart-Group-G-Speed",3.25,3.25,3.5,2.75,2.75,2.75,3.0,3.0,3.0,3.0,4.75,2.5
"Medium-B","Standard Kart","Group-G","Acceleration","Medium-B-Standard Kart-Group-G-Acceleration",3.75,3.77,3.78,3.28,2.75,3.0,2.5,2.5,2.75,2.5,4.5,2.75
"Medium-B","Standard Kart","Group-G","Speed","Medium-B-Standard Kart-Group-G-Speed",3.75,3.77,4.03,3.28,2.5,3.25,2.5,2.5,2.5,2.5,4.5,2.5
"Heavy-A","Standard Kart","Group-G","Acceleration","Heavy-A-Standard Kart-Group-G-Acceleration",4.25,4.25,4.25,3.75,2.5,3.5,3.5,2.0,2.25,2.0,4.25,2.5
"Heavy-A","Standard Kart","Group-G","Speed","Heavy-A-Standard Kart-Group-G-Speed",4.25,4.25,4.5,3.75,2.25,3.75,3.5,2.0,2.0,2.0,4.25,2.25
"Heavy-B","Standard Kart","Group-G","Acceleration","Heavy-B-Standard Kart-Group-G-Acceleration",4.25,4.25,4.25,3.75,2.25,4.0,4.0,2.0,2.25,2.0,4.0,2.0
"Heavy-B","Standard Kart","Group-G","Speed","Heavy-B-Standard Kart-Group-G-Speed",4.25,4.25,4.5,3.75,2.0,4.25,4.0,2.0,2.0,2.0,4.0,1.75
"Heavy-C","Standard Kart","Group-G","Acceleration","Heavy-C-Standard Kart-Group-G-Acceleration",4.75,4.75,4.75,4.25,2.25,4.0,4.0,1.5,1.75,1.5,4.0,2.0
"Heavy-C","Standard Kart","Group-G","Speed","Heavy-C-Standard Kart-Group-G-Speed",4.75,4.75,5.0,4.25,2.0,4.25,4.0,1.5,1.5,1.5,4.0,1.75
"Light-A","Standard Kart","Group-E","Acceleration","Light-A-Standard Kart-Group-E-Acceleration",2.25,2.75,2.25,2.25,3.5,2.0,4.75,4.75,5.0,4.75,4.5,3.25
"Light-A","Standard Kart","Group-E","Speed","Light-A-Standard Kart-Group-E-Speed",2.25,2.75,2.5,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3.0
"Light-B","Standard Kart","Group-E","Acceleration","Light-B-Standard Kart-Group-E-Acceleration",2.75,3.25,2.75,2.75,3.25,2.5,4.25,4.25,4.5,4.25,4.25,3.0
"Light-B","Standard Kart","Group-E","Speed","Light-B-Standard Kart-Group-E-Speed",2.75,3.25,3.0,2.75,3.0,2.75,4.25,4.25,4.25,4.25,4.25,2.75
"Medium-A","Standard Kart","Group-E","Acceleration","Medium-A-Standard Kart-Group-E-Acceleration",3.25,3.75,3.25,3.25,3.0,3.0,3.75,3.75,4.0,3.75,4.0,2.75
"Medium-A","Standard Kart","Group-E","Speed","Medium-A-Standard Kart-Group-E-Speed",3.25,3.75,3.5,3.25,2.75,3.25,3.75,3.75,3.75,3.75,4.0,2.5
"Medium-B","Standard Kart","Group-E","Acceleration","Medium-B-Standard Kart-Group-E-Acceleration",3.75,4.27,3.78,3.78,2.75,3.5,3.25,3.25,3.5,3.25,3.75,2.75
"Medium-B","Standard Kart","Group-E","Speed","Medium-B-Standard Kart-Group-E-Speed",3.75,4.27,4.03,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
"Heavy-A","Standard Kart","Group-E","Acceleration","Heavy-A-Standard Kart-Group-E-Acceleration",4.25,4.75,4.25,4.25,2.5,4.0,4.25,2.75,3.0,2.75,3.5,2.5
"Heavy-A","Standard Kart","Group-E","Speed","Heavy-A-Standard Kart-Group-E-Speed",4.25,4.75,4.5,4.25,2.25,4.25,4.25,2.75,2.75,2.75,3.5,2.25
"Heavy-B","Standard Kart","Group-E","Acceleration","Heavy-B-Standard Kart-Group-E-Acceleration",4.25,4.75,4.25,4.25,2.25,4.5,4.75,2.75,3.0,2.75,3.25,2.0
"Heavy-B","Standard Kart","Group-E","Speed","Heavy-B-Standard Kart-Group-E-Speed",4.25,4.75,4.5,4.25,2.0,4.75,4.75,2.75,2.75,2.75,3.25,1.75
"Heavy-C","Standard Kart","Group-E","Acceleration","Heavy-C-Standard Kart-Group-E-Acceleration",4.75,5.25,4.75,4.75,2.25,4.5,4.75,2.25,2.5,2.25,3.25,2.0
"Heavy-C","Standard Kart","Group-E","Speed","Heavy-C-Standard Kart-Group-E-Speed",4.75,5.25,5.0,4.75,2.0,4.75,4.75,2.25,2.25,2.25,3.25,1.75
"Light-A","Pipe Frame","Group-F","Acceleration","Light-A-Pipe Frame-Group-F-Acceleration",1.5499999999999998,1.25,2.0,1.5,4.25,1.5,5.0,4.75,5.5,5.0,5.25,4.5
"Light-A","Pipe Frame","Group-F","Speed","Light-A-Pipe Frame-Group-F-Speed",1.5499999999999998,1.25,2.25,1.5,4.0,1.75,5.0,4.75,5.25,5.0,5.25,4.25
"Light-B","Pipe Frame","Group-F","Acceleration","Light-B-Pipe Frame-Group-F-Acceleration",2.05,1.75,2.5,2.0,4.0,2.0,4.5,4.25,5.0,4.5,5.0,4.25
"Light-B","Pipe Frame","Group-F","Speed","Light-B-Pipe Frame-Group-F-Speed",2.05,1.75,2.75,2.0,3.75,2.25,4.5,4.25,4.75,4.5,5.0,4.0
"Medium-A","Pipe Frame","Group-F","Acceleration","Medium-A-Pipe Frame-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.75,2.5,4.0,3.75,4.5,4.0,4.75,4.0
"Medium-A","Pipe Frame","Group-F","Speed","Medium-A-Pipe Frame-Group-F-Speed",2.55,2.25,3.25,2.5,3.5,2.75,4.0,3.75,4.25,4.0,4.75,3.75
"Medium-B","Pipe Frame","Group-F","Acceleration","Medium-B-Pipe Frame-Group-F-Acceleration",3.05,2.77,3.53,3.03,3.5,3.0,3.5,3.25,4.0,3.5,4.5,4.0
"Medium-B","Pipe Frame","Group-F","Speed","Medium-B-Pipe Frame-Group-F-Speed",3.05,2.77,3.78,3.03,3.25,3.25,3.5,3.25,3.75,3.5,4.5,3.75
"Heavy-A","Pipe Frame","Group-F","Acceleration","Heavy-A-Pipe Frame-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.25,3.5,4.5,2.75,3.5,3.0,4.25,3.75
"Heavy-A","Pipe Frame","Group-F","Speed","Heavy-A-Pipe Frame-Group-F-Speed",3.55,3.25,4.25,3.5,3.0,3.75,4.5,2.75,3.25,3.0,4.25,3.5
"Heavy-B","Pipe Frame","Group-F","Acceleration","Heavy-B-Pipe Frame-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.0,4.0,5.0,2.75,3.5,3.0,4.0,3.25
"Heavy-B","Pipe Frame","Group-F","Speed","Heavy-B-Pipe Frame-Group-F-Speed",3.55,3.25,4.25,3.5,2.75,4.25,5.0,2.75,3.25,3.0,4.0,3.0
"Heavy-C","Pipe Frame","Group-F","Acceleration","Heavy-C-Pipe Frame-Group-F-Acceleration",4.05,3.75,4.5,4.0,3.0,4.0,5.0,2.25,3.0,2.5,4.0,3.25
"Heavy-C","Pipe Frame","Group-F","Speed","Heavy-C-Pipe Frame-Group-F-Speed",4.05,3.75,4.75,4.0,2.75,4.25,5.0,2.25,2.75,2.5,4.0,3.0
"Light-A","Pipe Frame","Group-C","Acceleration","Light-A-Pipe Frame-Group-C-Acceleration",2.0,2.0,2.0,2.0,4.25,1.25,5.25,5.25,5.5,5.25,4.25,3.75
"Light-A","Pipe Frame","Group-C","Speed","Light-A-Pipe Frame-Group-C-Speed",2.0,2.0,2.25,2.0,4.0,1.5,5.25,5.25,5.25,5.25,4.25,3.5
"Light-B","Pipe Frame","Group-C","Acceleration","Light-B-Pipe Frame-Group-C-Acceleration",2.5,2.5,2.5,2.5,4.0,1.75,4.75,4.75,5.0,4.75,4.0,3.5
"Light-B","Pipe Frame","Group-C","Speed","Light-B-Pipe Frame-Group-C-Speed",2.5,2.5,2.75,2.5,3.75,2.0,4.75,4.75,4.75,4.75,4.0,3.25
"Medium-A","Pipe Frame","Group-C","Acceleration","Medium-A-Pipe Frame-Group-C-Acceleration",3.0,3.0,3.0,3.0,3.75,2.25,4.25,4.25,4.5,4.25,3.75,3.25
"Medium-A","Pipe Frame","Group-C","Speed","Medium-A-Pipe Frame-Group-C-Speed",3.0,3.0,3.25,3.0,3.5,2.5,4.25,4.25,4.25,4.25,3.75,3.0
"Medium-B","Pipe Frame","Group-C","Acceleration","Medium-B-Pipe Frame-Group-C-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,2.75,3.75,3.75,4.0,3.75,3.5,3.25
"Medium-B","Pipe Frame","Group-C","Speed","Medium-B-Pipe Frame-Group-C-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.0,3.75,3.75,3.75,3.75,3.5,3.0
"Heavy-A","Pipe Frame","Group-C","Acceleration","Heavy-A-Pipe Frame-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.25,3.25,4.75,3.25,3.5,3.25,3.25,3.0
"Heavy-A","Pipe Frame","Group-C","Speed","Heavy-A-Pipe Frame-Group-C-Speed",4.0,4.0,4.25,4.0,3.0,3.5,4.75,3.25,3.25,3.25,3.25,2.75
"Heavy-B","Pipe Frame","Group-C","Acceleration","Heavy-B-Pipe Frame-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.0,3.75,5.25,3.25,3.5,3.25,3.0,2.5
"Heavy-B","Pipe Frame","Group-C","Speed","Heavy-B-Pipe Frame-Group-C-Speed",4.0,4.0,4.25,4.0,2.75,4.0,5.25,3.25,3.25,3.25,3.0,2.25
"Heavy-C","Pipe Frame","Group-C","Acceleration","Heavy-C-Pipe Frame-Group-C-Acceleration",4.5,4.5,4.5,4.5,3.0,3.75,5.25,2.75,3.0,2.75,3.0,2.5
"Heavy-C","Pipe Frame","Group-C","Speed","Heavy-C-Pipe Frame-Group-C-Speed",4.5,4.5,4.75,4.5,2.75,4.0,5.25,2.75,2.75,2.75,3.0,2.25
"Light-A","Pipe Frame","Group-B","Acceleration","Light-A-Pipe Frame-Group-B-Acceleration",2.0,2.0,2.0,2.0,4.25,1.75,5.5,5.5,5.75,5.5,4.25,3.75
"Light-A","Pipe Frame","Group-B","Speed","Light-A-Pipe Frame-Group-B-Speed",2.0,2.0,2.25,2.0,4.0,2.0,5.5,5.5,5.5,5.5,4.25,3.5
"Light-B","Pipe Frame","Group-B","Acceleration","Light-B-Pipe Frame-Group-B-Acceleration",2.5,2.5,2.5,2.5,4.0,2.25,5.0,5.0,5.25,5.0,4.0,3.5
"Light-B","Pipe Frame","Group-B","Speed","Light-B-Pipe Frame-Group-B-Speed",2.5,2.5,2.75,2.5,3.75,2.5,5.0,5.0,5.0,5.0,4.0,3.25
"Medium-A","Pipe Frame","Group-B","Acceleration","Medium-A-Pipe Frame-Group-B-Acceleration",3.0,3.0,3.0,3.0,3.75,2.75,4.5,4.5,4.75,4.5,3.75,3.25
"Medium-A","Pipe Frame","Group-B","Speed","Medium-A-Pipe Frame-Group-B-Speed",3.0,3.0,3.25,3.0,3.5,3.0,4.5,4.5,4.5,4.5,3.75,3.0
"Medium-B","Pipe Frame","Group-B","Acceleration","Medium-B-Pipe Frame-Group-B-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,3.25,4.0,4.0,4.25,4.0,3.5,3.25
"Medium-B","Pipe Frame","Group-B","Speed","Medium-B-Pipe Frame-Group-B-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.5,4.0,4.0,4.0,4.0,3.5,3.0
"Heavy-A","Pipe Frame","Group-B","Acceleration","Heavy-A-Pipe Frame-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.25,3.75,5.0,3.5,3.75,3.5,3.25,3.0
"Heavy-A","Pipe Frame","Group-B","Speed","Heavy-A-Pipe Frame-Group-B-Speed",4.0,4.0,4.25,4.0,3.0,4.0,5.0,3.5,3.5,3.5,3.25,2.75
"Heavy-B","Pipe Frame","Group-B","Acceleration","Heavy-B-Pipe Frame-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.0,4.25,5.5,3.5,3.75,3.5,3.0,2.5
"Heavy-B","Pipe Frame","Group-B","Speed","Heavy-B-Pipe Frame-Group-B-Speed",4.0,4.0,4.25,4.0,2.75,4.5,5.5,3.5,3.5,3.5,3.0,2.25
"Heavy-C","Pipe Frame","Group-B","Acceleration","Heavy-C-Pipe Frame-Group-B-Acceleration",4.5,4.5,4.5,4.5,3.0,4.25,5.5,3.0,3.25,3.0,3.0,2.5
"Heavy-C","Pipe Frame","Group-B","Speed","Heavy-C-Pipe Frame-Group-B-Speed",4.5,4.5,4.75,4.5,2.75,4.5,5.5,3.0,3.0,3.0,3.0,2.25
"Light-A","Pipe Frame","Group-D","Acceleration","Light-A-Pipe Frame-Group-D-Acceleration",1.25,2.25,2.25,1.25,5.0,1.25,5.5,5.5,5.75,5.5,4.5,5.25
"Light-A","Pipe Frame","Group-D","Speed","Light-A-Pipe Frame-Group-D-Speed",1.25,2.25,2.5,1.25,4.75,1.5,5.5,5.5,5.5,5.5,4.5,5.0
"Light-B","Pipe Frame","Group-D","Acceleration","Light-B-Pipe Frame-Group-D-Acceleration",1.75,2.75,2.75,1.75,4.75,1.75,5.0,5.0,5.25,5.0,4.25,5.0
